"""Extract important facial and hair details from the description and give them in a comma separated string. The suspect is a Caucasian male, estimated to be in his mid-30s. He has an angular jawline with a light stubble, with prominent cheekbones and thin, tightly pressed lips. His nose is sharp and narrow, He has sharp blue eyes. A high forehead, with a receding hairline, crowns his countenance, while sparse eyebrows arch slightly downwards above.""","""Caucasian male, mid-30s, angular jawline with light stubble, prominent cheekbones, thin lips, sharp nose, narrow nose, sharp blue eyes, high forehead, receding hairline, sparse eyebrows"""
"""Create a string of opposite features to the given input: Caucasian male, mid-30s, angular jawline with light stubble, prominent cheekbones, thin lips, sharp nose, narrow nose, sharp blue eyes, high forehead, receding hairline, sparse eyebrows.""","""Rounded jawline, heavy beard, subtle cheekbones, full lips, rounded and broad nose, large, round and dark eyes, low hairline, thick eyebrows"""
"""Extract important facial and hair details from the description and give them in a comma separated string. Suspect is a female, likely in her late 20s to early 30s, with a distinctly oval-shaped face. She possesses soft, rounded features, including full lips. Her nose is petite and slightly upturned and has almond-shaped eyes of a deep brown color with long, fluttery eyelashes. She has high cheekbones, and her skin is smooth, unblemished. She has expressive eyebrows, that are gently arched.""","""Female, late 20s to early 30s, oval-shaped face, soft rounded features, full lips, petite and slightly upturned nose, almond-shaped deep brown eyes, long fluttery eyelashes, high cheekbones, smooth unblemished skin, expressive gently arched eyebrows"""
"""Create a string of opposite features to the given input: Female, late 20s to early 30s, oval-shaped face, soft rounded features, full lips, petite and slightly upturned nose, almond-shaped deep brown eyes, long fluttery eyelashes, high cheekbones, smooth unblemished skin, expressive gently arched eyebrows""","""Square-shaped face, angular facial features, thin lips, prominent and downturned nose, round and light-colored eyes, short sparse eyelashes, low cheekbones, rough and scarred skin, flat eyebrows"""
"""Extract important facial and hair details from the description and give them in a comma separated string.  The suspect is a middle-aged male of East Asian descent, possibly in their late 40s, with a square-shaped face. He has prominent jawline. Lips are thin and tightly pressed together. Their nose is straight and well-defined ans has dark eyes. He has high cheekbones and furrow forehead.""","""Facial and hair details: Middle-aged man, East Asian descent, possibly late 40s, square-shaped face, prominent jawline, thin and tightly pressed lips, straight and well-defined nose, dark eyes, high cheekbones, furrow forehead."""
"""Create a string of opposite features to the given input: Middle-aged man, East Asian descent, possibly late 40s, square-shaped face, prominent jawline, thin and tightly pressed lips, straight and well-defined nose, dark eyes, high cheekbones, furrow forehead""","""Young man, rounded or oval-shaped face, fuller lips, rounded nose, light-colored eyes, lower cheekbones, smooth forehead"""
"""Extract important facial and hair details from the description and give them in a comma separated string. The person of interest is a young female of African descent, approximately in their early 20s, has a heart-shaped face with delicate features. She has full, plush lips She has petite nose that sits elegantly above high cheekbones. Her eyes have hazel color. She has long eyelashes. Her skin is smooth and has arched eyebrows""","""young African  female, early 20s, heart-shaped face, full plush lips, petite nose, high cheekbones, hazel eyes, long eyelashes, smooth skin, arched eyebrows"""
"""Create a string of opposite features to the given input: young African  female, early 20s, heart-shaped face, full plush lips, petite nose, high cheekbones, hazel eyes, long eyelashes, smooth skin, arched eyebrows""","""Square-shaped face, thin lips, large nose, low cheekbones, short eyelashes"""
"""Extract important facial and hair details from the description and give them in a comma separated string. The suspect is a Caucasian male, appearing to be in his late 40s, with a rectangular-shaped face. He has a well-defined jawline and a square chin. Lips are thin and have sharp blue eyes. He has high cheekbones.""","""Caucasian male in late 40s, rectangular-shaped face, well-defined jawline, square chin, thin lips, sharp blue eyes, high cheekbones"""
"""Create a string of opposite features to the given input: Caucasian male in late 40s, rectangular-shaped face, well-defined jawline, square chin, thin lips, sharp blue eyes, high cheekbones""","""Round face, soft jawline, rounded chin, full lips, soft brown eyes, low cheekbones"""
